,name,x,y
490,papaya,48.89647,5.6460443
491,molasses,29.020939,-11.509513
492,sunflower_oil,13.751874,28.388823
493,freshly_grated_parmesan,-31.808252,-35.93142
494,ricotta,-34.55741,-38.397015
495,dough,5.8060975,-39.681595
496,serrano_peppers,-56.097923,28.059986
497,swiss_chard,-10.345009,-23.27619
498,bow_tie_pasta,-27.507738,-39.698864
499,chorizo_sausage,-35.36476,8.09456
500,dried_red_chile_peppers,14.313798,19.72563
501,cornflour,15.7982,31.8789
502,baby_spinach_leaves,-23.080923,16.89262
503,macadamia_nut,68.90163,5.762811
504,rose,34.3895,7.467171
505,sliced_carrots,-7.927754,12.932758
506,beans,-63.432064,-8.945508
507,hazelnuts,26.373314,-31.441992
508,lime_peel_oil,58.51752,10.142771
509,clams,-11.522291,-4.6943693
510,masa_harina,-64.30128,18.666761
511,boiling_potatoes,9.142963,-3.4768624
512,truffle,-7.5289693,-29.47563
513,smoked_salmon,53.42699,21.894167
514,pears,29.542025,-25.880108
515,fresh_mozzarella,-29.537384,-27.7502
516,broth,-2.5039659,28.08906
517,greens,-3.43314,26.642353
518,champagne_wine,51.600185,8.10424
519,malt,24.440275,-4.136494
520,nori,-9.510025,62.26744
521,dried_currants,28.011831,-41.97932
522,red_kidney_beans,-30.60017,7.9512897
523,adobo_sauce,-66.81344,20.160488
524,blanched_almonds,27.57021,-38.456043
525,leaves,7.00825,26.064785
526,yam,59.75181,33.654964
527,firmly_packed_brown_sugar,30.474722,-13.597969
528,fresh_raspberries,51.972065,-16.364752
529,ripe_olives,-53.89572,-15.8074875
530,fat,-13.757006,14.839552
531,prawns,13.51158,33.719723
532,star_anise,61.05385,13.06708
533,brussels_sprout,59.266335,25.422686
534,angel_hair,-26.608252,-41.010853
535,orzo,-23.95524,-30.779646
536,blackberries,53.162354,-15.531048
537,rye_bread,70.00549,19.623426
538,stock,-2.4559548,28.359095
539,root,52.329575,31.711996
540,rolls,-37.896767,-19.441885
541,jicama,-45.920006,19.373022
542,lentils,7.460236,5.77793
543,amchur,20.695686,18.351645
544,herbs,-3.9694412,18.550325
545,thai_pepper,62.627445,16.848476
546,tomatoes_with_juice,-41.482586,2.818436
547,baby_bok_choy,-4.833291,49.78768
548,quickcooking_grits,-14.474604,-42.917526
549,white_cornmeal,-4.622872,-45.727123
550,galangal,13.720274,43.123642
551,asiago,-30.186056,-31.165203
552,pearl_onions,-0.4602033,-23.26175
553,anise_seed,66.092834,10.889706
554,gin,41.05203,-9.509318
555,chervil,-5.0350175,-28.227665
556,panko,-36.23153,32.312687
557,bitter_orange,60.98705,5.701987
558,golden_brown_sugar,36.219337,-17.36593
559,lavender,-10.143788,-33.894493
560,wheat_bread,69.085526,18.364468
561,agave_nectar,-0.09807368,59.583866
562,raspberries,51.232933,-15.893222
563,marinade,2.794178,51.845848
564,serrano_chilies,-53.287426,31.137278
565,pizza_sauce,-45.99386,-38.386223
566,liver,-6.5911903,-32.48411
567,crabmeat,-18.930542,1.0089788
568,pico_de_gallo,-63.06475,1.267659
569,canned_black_beans,-63.43575,5.7669144
570,table_salt,-17.758402,19.819204
571,grapeseed_oil,-23.608774,44.311516
572,white_beans,-12.220373,-22.44428
573,ancho_powder,-55.78063,16.18467
574,tangerine,36.551865,-2.224862
575,sweet_italian_sausage,-41.894115,-39.188023
576,fillets,-29.914238,23.721836
577,semi_sweet_chocolate_morsels,57.915558,-28.33565
578,hominy,-59.84313,22.25421
579,chees_fresh_mozzarella,-29.2652,-27.163073
580,whole_cloves,17.333927,-2.9574125
581,white_sesame_seeds,-6.724688,61.65874
582,oatmeal,63.729282,1.6886979
583,canned_tomatoes,-42.831066,4.127807
